rank,defense_team_code,defense_lineup,weighted_attempts,weighted_makes,allowed_fg_pct
0,ALL,전체 슛 평균,36907.13333,16198.5,43.8898894
1,LG,"아셈 마레이,양준석,유기상,정인덕,칼 타마요",643.5,279,43.35664336
2,소노,"네이던 나이트,이정현,정희재,최승욱,케빈 켐바오",544,237,43.56617647
3,모비스,"레이션 해먼즈,박무빈,서명진,이승현,조한진",519.1666667,244,46.99839486
4,소노,"강지훈,네이던 나이트,이정현,최승욱,케빈 켐바오",413,182,44.06779661
5,KCC,"송교창,숀 롱,장재석,최진광,허웅",316,125,39.55696203
6,삼성,"앤드류 니콜슨,이관희,이원석,저스틴 구탕,한호빈",287.5,139,48.34782609
7,가스공사,"김준일,라건아,샘조세프 벨란겔,신승민,정성우",259.6,107,41.21725732
8,모비스,"레이션 해먼즈,박무빈,서명진,이승현,정준원",251,121,48.20717131
9,소노,"강지훈,김진유,네이던 나이트,이정현,케빈 켐바오",233,103,44.20600858
10,DB,"강상재,김보배,박인웅,이선 알바노,헨리 엘런슨",226,91,40.26548673
11,SK,"김낙현,안영준,오재현,자밀 워니,최부경",225,101,44.88888889
12,모비스,"레이션 해먼즈,박무빈,서명진,조한진,함지훈",193,83,43.00518135
13,LG,"아셈 마레이,양준석,양홍석,유기상,칼 타마요",193,83,43.00518135
14,삼성,"이관희,이규태,저스틴 구탕,케렘 칸터,한호빈",191.2,101,52.82426778
15,KCC,"송교창,숀 롱,최준용,허웅,허훈",183.75,82,44.62585034
16,LG,"아셈 마레이,양준석,정인덕,최형찬,칼 타마요",178,72,40.4494382
17,KCC,"송교창,숀 롱,최준용,최진광,허웅",169,72,42.6035503
18,KCC,"숀 롱,윤기찬,장재석,허웅,허훈",159,70,44.02515723
19,모비스,"박무빈,서명진,이승현,조한진,존 이그부누",157,80,50.95541401
20,DB,"강상재,이선 알바노,이용우,정효근,헨리 엘런슨",154.75,72,46.5266559
21,소노,"네이던 나이트,이정현,임동섭,최승욱,케빈 켐바오",143,64,44.75524476
22,DB,"강상재,박인웅,이선 알바노,정효근,헨리 엘런슨",139.5,58,41.57706093
23,KT,"김선형,문성곤,문정현,아이재아 힉스,하윤기",136.8333333,54,39.46406821
24,DB,"박인웅,이선 알바노,이용우,정효근,헨리 엘런슨",132,55,41.66666667
25,SK,"김낙현,김형빈,안영준,오재현,자밀 워니",131,54,41.22137405
26,모비스,"김건하,레이션 해먼즈,서명진,이승현,조한진",130,69,53.07692308
27,SK,"김낙현,안영준,자밀 워니,최부경,최원혁",127.5,52,40.78431373
28,LG,"아셈 마레이,양준석,유기상,정인덕,허일영",127,53,41.73228346
29,SK,"안영준,알빈 톨렌티노,오재현,자밀 워니,최부경",127,43,33.85826772
30,KCC,"김동현,숀 롱,장재석,허웅,허훈",125,55,44
31,소노,"김진유,네이던 나이트,이정현,정희재,케빈 켐바오",124.25,55.5,44.66800805
32,LG,"아셈 마레이,유기상,윤원상,정인덕,칼 타마요",121.3333333,51,42.03296703
33,LG,"아셈 마레이,양준석,양홍석,유기상,정인덕",118,47,39.83050847
34,KCC,"송교창,숀 롱,장재석,허웅,허훈",115.5,56,48.48484848
35,KCC,"김동현,숀 롱,윌리엄 나바로,윤기찬,허훈",111,54,48.64864865
36,정관장,"김영현,렌즈 아반도,변준형,조니 오브라이언트,한승희",111,51,45.94594595
37,DB,"강상재,김보배,이선 알바노,이용우,헨리 엘런슨",107.5,50,46.51162791
38,SK,"김낙현,안영준,알빈 톨렌티노,자밀 워니,최부경",103,39,37.86407767
39,삼성,"이관희,저스틴 구탕,최현민,케렘 칸터,한호빈",103,41,39.80582524
40,정관장,"김영현,박지훈,변준형,조니 오브라이언트,한승희",103,42,40.77669903
41,삼성,"앤드류 니콜슨,이대성,저스틴 구탕,최성모,최현민",102,41,40.19607843
42,KCC,"숀 롱,윤기찬,최준용,허웅,허훈",99.66666667,46,46.15384615
43,SK,"김낙현,김형빈,안영준,알빈 톨렌티노,자밀 워니",98.5,42,42.63959391
44,DB,"김보배,박인웅,이선 알바노,이정현,헨리 엘런슨",98,39,39.79591837
45,DB,"박인웅,이선 알바노,이정현,정효근,헨리 엘런슨",96.5,53,54.92227979
46,가스공사,"김준일,라건아,샘조세프 벨란겔,신승민,양우혁",95.25,40,41.99475066
47,SK,"김낙현,알빈 톨렌티노,오재현,자밀 워니,최부경",95,41,43.15789474
48,가스공사,"라건아,샘조세프 벨란겔,신승민,신주영,정성우",93,46,49.46236559
49,KT,"데릭 윌리엄스,문정현,박준영,조엘 카굴랑안,하윤기",92.55,40,43.21988115
50,DB,"김보배,박인웅,이선 알바노,이용우,헨리 엘런슨",91,35,38.46153846
